Date,Open,High,Low,Close
04-Jan-10,5819.5,5889.2,5819.5,5877.25
05-Jan-10,5898.95,5923.25,5874.9,5913.65
06-Jan-10,5913.9,5922.15,5816.55,5824.9
07-Jan-10,5828.2,5840.05,5690.8,5702.85
08-Jan-10,5694.8,5694.8,5599.3,5607.9
11-Jan-10,5629.7,5691.8,5606.15,5649.65
12-Jan-10,5741.65,5897,5741.65,5862.4
13-Jan-10,5866.55,6082.5,5846.75,6075.8
14-Jan-10,6095.7,6160,6004.85,6105.3
15-Jan-10,6095.15,6145.4,6058.6,6118.4
18-Jan-10,6131.75,6190.85,6112.4,6181.15
19-Jan-10,6175.25,6181.6,6044.55,6068.7
20-Jan-10,6108.95,6123.3,6024.1,6052.4
21-Jan-10,6028.45,6098.65,5927.15,5951.9
22-Jan-10,5951.95,5951.95,5814.6,5874.6
25-Jan-10,5850.6,5850.6,5745.95,5799.3
27-Jan-10,5753.65,5767.9,5577.5,5599
28-Jan-10,5639.8,5729.2,5572.05,5649.35
29-Jan-10,5554.85,5619.45,5423.45,5594.15
01-Feb-10,5543.55,5739.55,5477.95,5643.45
02-Feb-10,5720.05,5745,5561.7,5586.7
03-Feb-10,5599.55,5713.75,5599.55,5698.85
04-Feb-10,5686.75,5686.75,5541.75,5565.95
05-Feb-10,5460.75,5510.6,5401.55,5449.75
06-Feb-10,5453.4,5522.65,5453.4,5501.7
08-Feb-10,5503.1,5555.75,5387.95,5484.65
09-Feb-10,5474.6,5620.8,5474.6,5606.3
10-Feb-10,5616.7,5654.05,5563.65,5573.45
11-Feb-10,5595.2,5678.05,5595.2,5644.2
15-Feb-10,5669.9,5698.85,5630.05,5667.05
16-Feb-10,5665.5,5767.8,5642.25,5745.1
17-Feb-10,5779.7,5798.25,5712.05,5743.8
18-Feb-10,5745.8,5785.5,5722.15,5741.1
19-Feb-10,5701.8,5758.2,5686.25,5712.45
22-Feb-10,5759.55,5815.7,5740.9,5752.8
23-Feb-10,5750.9,5796.6,5729.9,5783.8
24-Feb-10,5744.25,5828.3,5744.25,5779.75
25-Feb-10,5810.25,5814.9,5752.35,5782.1
26-Feb-10,5787.3,5832,5724.8,5766.7
02-Mar-10,5823.55,5857.7,5797.95,5848.7
03-Mar-10,5885.15,5913.15,5848.9,5896.7
04-Mar-10,5906.3,5906.3,5799.45,5833.6
05-Mar-10,5834.05,5863.05,5815.55,5843.2
08-Mar-10,5843.45,5905.8,5843.45,5882.7
09-Mar-10,5903.85,5968.1,5880.45,5925.1
10-Mar-10,5926.3,5947.7,5881.95,5897.85
11-Mar-10,5900,5980.05,5900,5960.05
12-Mar-10,5977.15,5987.9,5933.15,5960.65
15-Mar-10,5980.65,6052.05,5906.5,6038.45
16-Mar-10,6059.2,6119.7,6021.9,6102.75
17-Mar-10,6094,6174.3,6094,6143
18-Mar-10,6155.75,6185,6129.75,6174.7
19-Mar-10,6189.6,6189.6,6132.7,6145.45
22-Mar-10,6086.25,6162.3,6085.15,6128.75
23-Mar-10,6174.55,6176.4,6123.15,6142.7
25-Mar-10,6137.55,6220.05,6128.05,6201.2
26-Mar-10,6223.5,6223.5,6135,6151.9
29-Mar-10,6133.65,6140.9,6039.85,6050.95
30-Mar-10,6033.15,6042.85,5908.15,5917.75
31-Mar-10,5947.6,5967.55,5842.3,5855.95
01-Apr-10,5861.45,5994.25,5861.45,5984
05-Apr-10,5992.8,6017.35,5933.3,5993.9
06-Apr-10,6001.6,6003.65,5924,5934.8
07-Apr-10,5947.85,5947.85,5871.95,5920.05
08-Apr-10,5892.1,5994.3,5892.1,5950
09-Apr-10,5959.25,6013.3,5943.65,5950.7
12-Apr-10,5969.1,5985.9,5916.85,5963.8
13-Apr-10,6041.5,6163.15,5905.15,6141.15
15-Apr-10,6141.6,6230.6,6126.7,6171.75
16-Apr-10,6141.85,6194.6,6117.55,6142.85
19-Apr-10,6123.55,6123.55,6026.6,6064.25
20-Apr-10,6117.05,6117.05,5990.15,6000
21-Apr-10,6036.55,6050.4,5976.6,6004.6
22-Apr-10,5990.45,6087.45,5977.95,6017.2
23-Apr-10,6055.6,6072.3,6001.85,6016.15
26-Apr-10,6034.5,6059.85,6024.1,6040
27-Apr-10,6034.8,6045.5,6015.7,6037.75
28-Apr-10,6014.65,6014.65,5939.5,5949.65
29-Apr-10,5949.8,5961.65,5899.35,5938.55
30-Apr-10,5947.85,6021.75,5914.7,5985.8
03-May-10,5946.4,5958.3,5901.85,5930
04-May-10,5955.3,5958.6,5855.85,5871.8
05-May-10,5811.9,5956.6,5771.55,5932
06-May-10,5925.25,5925.25,5835.4,5867.9
07-May-10,5811.7,5818.25,5712.25,5726.6
10-May-10,5780.8,5901.5,5772.9,5890.9
11-May-10,5900,5900,5805.35,5834.35
12-May-10,5838.15,5911.85,5820.55,5876.25
13-May-10,5900.05,5951.05,5887.95,5922.6
14-May-10,5913.65,5972.35,5801.9,5839.75
17-May-10,5827.4,5827.4,5673,5744.55
18-May-10,5796.2,5796.2,5686.5,5754.7
19-May-10,5742.4,5762.3,5641.3,5663.1
20-May-10,5708.75,5714.25,5642.75,5659.9
21-May-10,5618.1,5639.65,5554,5606.45
24-May-10,5622.7,5702.45,5622.65,5638.5
25-May-10,5592.35,5592.35,5446.8,5488.1
26-May-10,5528.8,5702.35,5528.8,5674.4
27-May-10,5671.6,5740.9,5623.3,5713.6
28-May-10,5721.2,5792.25,5709.05,5783.6
31-May-10,5852.35,5852.35,5704.2,5761.95
01-Jun-10,5762.05,5764.05,5679.1,5688.3
02-Jun-10,5688.8,5757.1,5688.8,5738.45
03-Jun-10,5804.25,5854.95,5800.1,5839.65
04-Jun-10,5844.3,5894.35,5799.85,5884.3
07-Jun-10,5783.6,5801.15,5732.25,5785.85
